system:index,-75739_37862,-75762_37844,-75793_37907,-75802_37916,-75811_37875,-75820_37812,-75843_37794,-75865_37718,-75887_37628,-75973_37776,-75991_37682,-76054_36923,-76054_37228,-76058_37583,-76081_37413,-76157_37489,-76161_37413,-76161_37588,-76166_36995,-76170_37911,-76175_37799,-76188_37691,-76206_37237,-76220_38320,-76229_38136,-76229_38315,-76265_38190,-76292_38320,-76305_38526,-76305_39164,-76337_38032,-76346_38023,-76346_39178,-76350_38576,-76373_37179,-76386_37237,-76386_37242,-76390_37219,-76390_37251,-76390_37260,-76390_38558,-76390_39151,-76413_38558,-76426_38113,-76431_38122,-76444_38059,-76444_38113,-76449_38086,-76655_38190,-76723_38190,-76768_38172,-76804_38176,imageID,timeMillis,.geo
T2000264_0,599.7999877929688,586.4000244140625,544.5999755859375,544.5999755859375,566.4000244140625,582.2000122070312,519.0,,581.5999755859375,487.79998779296875,523.7999877929688,747.5999755859375,477.0,478.6000061035156,527.7999877929688,511.6000061035156,479.79998779296875,495.79998779296875,657.2000122070312,714.4000244140625,687.0,622.4000244140625,454.6000061035156,,647.2000122070312,,834.2000122070312,1503.5999755859375,1083.5999755859375,1751.0,1758.4000244140625,1758.4000244140625,1175.800048828125,2073.0,551.4000244140625,564.2000122070312,564.2000122070312,564.2000122070312,564.2000122070312,,2614.60009765625,1604.4000244140625,2614.60009765625,,,4783.39990234375,,,1418.4000244140625,1526.199951171875,,,T2000264,9.69395405E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000265_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.7999877929688,,,896.4000244140625,,,,,,,,,993.4000244140625,,,,,,,,,,,T2000265,9.69480606E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000266_0,,981.7999877929688,,,971.7999877929688,,,,,701.4000244140625,809.5999755859375,,,,,,,707.4000244140625,,,,980.4000244140625,,,,,,,,,4080.0,4080.0,,,,,,,,,,,,,,,,,,,,,T2000266,9.69567306E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000267_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000267,9.69652805E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000268_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000268,9.69739506E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000269_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000269,9.69825606E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000270_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000270,9.69913506E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000271_0,580.0,564.4000244140625,561.2000122070312,561.2000122070312,535.2000122070312,582.0,655.4000244140625,620.0,587.0,515.5999755859375,491.6000061035156,,,475.3999938964844,527.4000244140625,,,475.6000061035156,,563.5999755859375,568.5999755859375,520.0,,848.5999755859375,656.7999877929688,848.5999755859375,675.2000122070312,921.5999755859375,986.0,689.2000122070312,867.5999755859375,867.5999755859375,799.4000244140625,1314.4000244140625,,,,,,,1420.5999755859375,811.4000244140625,1420.5999755859375,,,1093.199951171875,,,3318.39990234375,,3125.39990234375,3125.39990234375,T2000271,9.70000506E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000272_0,,418.6000061035156,426.6000061035156,426.6000061035156,419.3999938964844,,428.6000061035156,,,420.79998779296875,414.3999938964844,,,407.20001220703125,431.0,438.3999938964844,448.6000061035156,438.20001220703125,,438.20001220703125,463.3999938964844,483.0,480.0,,430.3999938964844,,483.79998779296875,,,452.3999938964844,575.0,575.0,,588.7999877929688,515.7999877929688,528.4000244140625,528.4000244140625,528.4000244140625,528.4000244140625,,607.4000244140625,488.6000061035156,607.4000244140625,,,,,,,,,,T2000272,9.70085706E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000273_0,,,,,,,,,,,,,,,,,,,,,,,,,719.7999877929688,,756.5999755859375,,5327.60009765625,1214.0,,,3768.39990234375,12953.400390625,,,,,,,12953.400390625,1682.199951171875,12953.400390625,,,,,,,,,,T2000273,9.70172705E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000274_0,500.6000061035156,497.6000061035156,490.6000061035156,490.6000061035156,493.20001220703125,511.3999938964844,512.7999877929688,547.0,537.2000122070312,489.6000061035156,497.20001220703125,,,490.6000061035156,467.79998779296875,522.5999755859375,496.0,497.20001220703125,,551.2000122070312,546.7999877929688,531.4000244140625,436.20001220703125,471.6000061035156,453.20001220703125,471.6000061035156,479.0,510.6000061035156,719.2000122070312,511.0,699.5999755859375,699.5999755859375,547.2000122070312,653.2000122070312,511.3999938964844,495.20001220703125,495.20001220703125,495.20001220703125,495.20001220703125,560.5999755859375,682.0,674.2000122070312,682.0,764.7999877929688,764.7999877929688,691.0,764.7999877929688,764.7999877929688,885.0,890.4000244140625,963.7999877929688,752.4000244140625,T2000274,9.70257905E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000275_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000275,9.70344606E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000276_0,595.4000244140625,629.2000122070312,598.2000122070312,598.2000122070312,669.2000122070312,756.4000244140625,670.2000122070312,880.7999877929688,1099.4000244140625,639.0,995.5999755859375,,704.5999755859375,1095.0,974.4000244140625,957.5999755859375,852.7999877929688,991.7999877929688,,849.2000122070312,1402.199951171875,2024.199951171875,791.5999755859375,,1263.5999755859375,,1979.800048828125,3609.0,820.7999877929688,689.2000122070312,1150.199951171875,1150.199951171875,619.4000244140625,1036.0,656.5999755859375,618.2000122070312,618.2000122070312,618.2000122070312,618.2000122070312,681.4000244140625,1261.0,599.4000244140625,1261.0,,,1308.4000244140625,,,6673.2001953125,4043.60009765625,1107.5999755859375,1660.199951171875,T2000276,9.70430406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000277_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000277,9.70516806E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000278_0,509.3999938964844,512.5999755859375,518.2000122070312,518.2000122070312,516.0,534.2000122070312,503.6000061035156,587.2000122070312,575.7999877929688,505.79998779296875,505.0,504.6000061035156,465.3999938964844,460.3999938964844,497.6000061035156,460.6000061035156,467.79998779296875,448.0,485.0,509.20001220703125,561.0,479.6000061035156,430.6000061035156,669.0,522.4000244140625,669.0,625.5999755859375,760.7999877929688,679.4000244140625,1030.199951171875,663.2000122070312,663.2000122070312,749.2000122070312,714.7999877929688,569.2000122070312,532.5999755859375,532.5999755859375,532.5999755859375,532.5999755859375,,854.7999877929688,1922.4000244140625,854.7999877929688,,,891.2000122070312,,,,,1468.0,1468.0,T2000278,9.70605906E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000279_0,,,,,,,,,,,,512.2000122070312,,,,,,,540.4000244140625,,,,372.79998779296875,,,,,,,,,,,,487.3999938964844,,,,,,,,,,,,,,,,,,T2000279,9.70690806E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000280_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000280,9.70777805E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000281_0,,516.2000122070312,552.5999755859375,552.5999755859375,514.5999755859375,516.2000122070312,462.20001220703125,,,444.3999938964844,,,410.3999938964844,,,,,,,522.7999877929688,,513.5999755859375,436.6000061035156,,462.0,,,,,,688.5999755859375,688.5999755859375,,,607.5999755859375,,,,,,,,,,,,,,,,883.5999755859375,883.5999755859375,T2000281,9.70863005E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000282_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000282,9.70951506E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000283_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000283,9.71035206E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000284_0,,,,,,,,,,806.7999877929688,,,,,,,,1144.800048828125,640.0,,,,636.2000122070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000284,9.71123705E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
